Agency,AwardDescription,Length,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,LODGING,7,,,,
Justice,"LODGING ACCOMMODATIONS FOR THE FRONT ROYAL, VA AREA",51,,,,
Justice,IMESAFR SUPPORT SERVICES,24,,,,
Justice,F5 CLOUD RENEWAL AND SUPPORT,28,,,,
Justice,AKAMAI RENEWAL FOR OST/ITSDD,28,,,,
Justice,FIRM-FIXED-PRICE CONTRACT FOR STAB RESISTANT VEST.,50,,,,
Justice,PHARMACY AUTOMATED DISPENSING CABINETS AND SERVICE ITEMS.,57,,,,
Justice,COMPREHENSIVE MEDICAL. JUNE. MODIFICATION,41,,,,
Justice,MEDICAL/SURGICAL SUPPLIES.,26,,,,
Justice,COMPREHENSIVE MEDICAL FOR FEBRUARY 2020. FY 2020. MODIFICATION,62,,,,
Justice,COMPREHENSIVE MEDICAL MARCH  FY-20.,35,,,,
Justice,AMMUNITION - FOR PENAL INSTITUTION - ANNUAL TRAINING,52,,,,
Justice,"SOLID WASTE REMOVAL SERVICES TO BE PERFORMED AT THE FEDERAL CORRECTIONAL INSTITUTION LOCATED IN MEMPHIS, TN AND THE SATELLITE PRISON CAMP LOCATED IN MILLINGTON, TN",163,,,,
Justice,COMPREHENSIVE MEDICAL SERVICES FOR FCI MORGANTOWN -  MAR 2019,61,,,,
Justice,VARIOUS AMMUNITION,18,,,,
Justice,ELECTRIC SERVICE SUPPLIED AT USP BIG SANDY,42,,,,
Justice,ELECTRIC SERVICE SUPPLIED AT USP BIG SANDY,42,,,,
Justice,THIS BPA FOR BLOOD SPECIMEN CD4/CD8 AND HIV/HBV/HCV VIRAL LOAD/GENOTYPE TESTING SERVICES FOR BOP FACILITIES.,108,,,,
Justice,FLUARIX PRE-FILLED SYRINGES FOR INMATES&STAFF AT FMC DEVENS.,60,,,,
Justice,151060 OUTTER VEST CARRIERS,27,,,,
Justice,GENERAL SURGEON SERVICES,24,,,,
Justice,COMPREHENSIVE MEDICAL SERVICES,30,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES, ON-SITE MEDICAL SERVICES FOR INMATE POPULATION AT USP ATLANTA FOR THE MONTH OF APRIL 2020.  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",172,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES, ON-SITE MEDICAL SERVICES FOR INMATE POPULATION AT USP ATLANTA FOR THE MONTH OF MAY 2020.  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",170,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES, ON-SITE MEDICAL SERVICES FOR INMATE POPULATION AT USP ATLANTA FOR THE MONTH OF JUNE 2020.  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",171,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES, ON-SITE MEDICAL SERVICES FOR INMATE POPULATION AT USP ATLANTA FOR THE MONTH OF JULY 2020.  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",171,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES, ON-SITE MEDICAL SERVICES FOR INMATE POPULATION AT USP ATLANTA FOR THE MONTH OF AUGUST 2020.  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",173,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES, ON-SITE MEDICAL SERVICES FOR INMATE POPULATION AT USP ATLANTA FOR THE MONTH OF SEPTEMBER 2020.  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",176,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES - OFF SITE: (IN&OUT PATIENT FACILITY, PHYSICIAN AND EMS SERVICE) JUNE 2020  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",155,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES - OFF SITE: (IN&OUT PATIENT FACILITY, PHYSICIAN AND EMS SERVICE) AUGUST 2020  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",157,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES - OFF SITE: (IN&OUT PATIENT FACILITY, PHYSICIAN AND EMS SERVICE) SEPTEMBER 2020  IAW FAR 52.232-18, AVAILABILITY OF FUNDS APPLIES",160,,,,
Justice,151060 - COMPREHENSIVE OFF-SITE MEDICAL SERVICES - FCC COLEMAN FOR APRIL 2018,77,,,,
Justice,151060 - COMPREHENSIVE ON-SITE MEDICAL SERVICES - FCC COLEMAN,61,,,,
Justice,151060 - COMPREHENSIVE OFF-SITE MEDICAL SERVICES - FCC COLEMAN FOR NOVEMBER 2018,80,,,,
Justice,NOVEMBER ON SITE INMATE HEALTH CARE SPECIALITY CLINICS,54,,,,
Justice,NOVEMBER ON SITE HEALTH CARE PROVIDERS,38,,,,
Justice,NOVEMBER OFF SITE INMATE HEALTH CARE,36,,,,
Justice,OUTSIDE MEDICAL CARE INMATE CATASTROPHIC TASK ORDER WELLPATH,60,,,,
Justice,OUTSIDE MEDICAL CARE INMATE CATASTROPHIC TASK ORDER WELLPATH,60,,,,
Justice,CATASTROPHIC,12,,,,
Justice,CATASTROPHIC,12,,,,
Justice,CATASTROPHIC,12,,,,
Justice,"MCKESSON CORPORATION MEDICATION ORDER FOR THE INMATE POPULATION AT FDC MIAMI, FLORIDA",85,,,,
Justice,MEDICAL SERVICES,16,,,,
Justice,MEDICAL SERVICES,16,,,,
Justice,MEDICAL SERVICES,16,,,,
Justice,"PYXIS MEDSTATION EQUIPMENT, OCTOBER 1, 2019 - SEPTEMBER 30, 2020",64,,,,
Justice,"OUTSIDE MEDICAL, OCTOBER 2019. THIS MODIFICATION IS TO INCREASE BY 925.68 NEW PO TOTAL IS $240,874.30",101,,,,
Justice,THIS MODIFICATION IS TO INCREASE FCN# VA130001 BY $239.75.  LABORATORY SERVICES.,80,,,,
Justice,"TEMPORARY PHARMACISTS SERVICES OCTOBER 1, 2019 - SEPTEMBER 30, 2020 FY20",72,,,,
Justice,USP MARION COMPREHENSIVE MEDICAL SERVICES  FY2019 JULY,54,,,,
Justice,CMS AUGUST FY18 THIS MODIFICATION REPRESENTS A FUNDING ONLY ACTION FOR AN INCREASE OF MEDICAL TRIPS TB270014 BY $1490.00,120,,,,
Justice,TRANSLATION SERVICES FOR FMC ROCHESTER MARCH 2020,49,,,,
Justice,LAB SUPPLY ORDER,16,,,,
Justice,"INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ), FIRM-FIXED-PRICE CONTRACT FOR STAB RESISTANT VEST.",99,,,,
Justice,FLU VACCINES DELIVERED TO FCC TERRE HAUTE CONTRACT # 36E79720D0016 NDC# 58160-0885-52,85,,,,
Justice,FLU VACCINES DELIVERED TO FCC TERRE HAUTE CONTRACT # 36E79720D0016 NDC# 58160-0885-52,85,,,,
Justice,HEMATOLOGY EQUIPMENT FMC FTW,28,,,,
Justice,OFFICE EQUIPMENT,16,,,,
Justice,SHIPMENT OF INMATE PROPERTY,27,,,,
Justice,ON SITE ORTHO CLINIC - APRIL 2020,33,,,,
Justice,ON SITE OPTOMETRY CLINIC - APRIL 2020,37,,,,
Justice,WELLPATH - OFFSITE PATIENT CARE - DEC 2019,42,,,,
Justice,WELLPATH - OFFSITE PATIENT CARE - APRIL 2020,44,,,,
Justice,"MODIFICATION TO REFLECT SERVICES RECIEVED. CONTRACT FUNDING AMOUNT INCREASED BY $32,080.66 FROM $10,000.00 TO $42,080.66. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",170,,,,
Justice,WELLPATH - US MARSHALL - OFFSITE PATIENT CARE - APRIL 2020,58,,,,
Justice,3RD QUARTER MEDICAL SUPLIES,27,,,,
Justice,FY20 ESTIMATE FOR PYXIS EQUIPMENT RENTAL,40,,,,
Justice,MEDICAL AND DENTAL SUPPLIES   FOR FCC VICTORVILLE FY-20,55,,,,
Justice,FLU VACCINES FOR THE STAFF FY-20,32,,,,
Justice,"COMMUNITY TREATMENT SERVICES:  SU/MH/SOT IN TUPELO, MS",54,,,,
Justice,"COMMUNITY TREATMENT SERVICES IN BROOKLYN, NY.",45,,,,
Justice,"CTS SERVICES IN WATERLOO, IA",28,,,,
Justice,ON-SITE MEDICAL SERVICES FOR INMATE POPULATION.,47,,,,
Justice,OFF-SITE MEDICAL SERVICES FOR INMATE POPULATION.,48,,,,
Justice,OFF-SITE MEDICAL SERVICES FOR INMATE POPULATION.,48,,,,
Justice,"RRC AND HOME CONFINEMENT SERVICES IN PHILADELPHIA, PA FOR THE PERIOD OF PERFORMANCE 04/01/19 TO 03/31/2020",106,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,OFFSITE STAFF SUPPORT POSITION FOR CP DEA.GOV WEBSITE. CONTRACT # GS00Q17GWD2192,80,,,,
Justice,EC AMERICA-SARF-FOIAXPRESS ENHANCEMENT TOOLS POP 6/1/2019-5/31/2024,67,,,,
Justice,"MONTHLY RECURRING SERVICE FOR PHONES POP ""DATE OF AWARD"" - 9/30/2020 FEDERAL SUPPLY CONTRACT NUMBER: 47QTCA19D00MV",114,,,,
Justice,HOUSTON&LAREDO NON-ASSET FORFEITURE POSITIONS.,46,,,,
Justice,FSA CONTRACT SUPPORT FOR ACADEMY  POP: 4/1/2020 - 6/30/2020,59,,,,
Justice,"RECURRING RENEWAL OF NETWORK CRITICAL TAPS POP: 04/03/2020 - 09/30/2022 BASE YR: $23,094.66 OY1: $17,095.94 9/30/21-9/29/22 TOTAL AMOUNT: $40,190.60",148,,,,
Justice,"AT&T MOBILITY LLC FIRSTNET MOBILE UNLIMITED, UNLIMITED INTERNATIONAL DATA",73,,,,
Justice,JWIP MAINTENANCE,16,,,,
Justice,"THIS REQUEST IS TO ISSUE A TASK ORDER AWARD WITH A SIX (6) MONTH BASE PERIOD AND, SIX (6)  12 MONTH OPTION PERIODS UNDER DOJ'S TASK ORDER 15JPSS20D00000271.  BASE PERIOD:  APRIL 1, 2020 TO SEPTEMBER 30, 2020.",208,,,,
Justice,WIRELESS DATA SERVICE,21,,,,
Justice,THE PURPOSE OF THIS MODIFICATION IS TO REDUCE QUANTITIES TO REFLECT ACTUAL QUANTITIES ORDERED.,94,,,,
Justice,THE PURPOSE OF THIS MODIFICATION IS TO DECREASE LINE 003 TO A QUANTITY OF 109.,78,,,,
Justice,"THE PURCHASE OF CISCO HARDWARE, SOFTWARE, AND MAINTENANCE PRODUCTS BY TICTU WILL BE USED TO PERFORM A TECHNICAL REFRESH ON NETWORK EQUIPMENT THAT IS NOW END OF LIFE. THIS TECHNICAL REFRESH WILL SUPPORT THE ROLLOUT OF ENHANCED SECURITY CAPABILITIES.",248,,,,
Justice,CISCO EQUIPMENT,15,,,,
Justice,CISCO EQUIPMENT,15,,,,
Justice,2 (TWO) CURVE NON MOTORIZED SLAT BELT TREADMILLS MODEL: CURVE TRAINER DISPLAY: STANDARD (LED) COLOR: BLACK VOLTAGE: NO POWER ELEVATION: NONE SPEED: 0  FREIGHT CHARGES,166,,,,
Justice,TASK ORDER: WIRELESS PRIORITY SERVICE FIRST NET IMPLANTATION ORDER AND SERVICE FOR THE CRITICAL RESPONSE TEAM.   15 APPLE IPHONE XR 64GB  POP 3/8/19-3/7/20,155,,,,
Justice,FLU CREDIT CHECK FOR FY21 - CONTRACT #DJJ16PEOA02-188 PERIOD OF PERFORMANCE: 10/1/20-9/30/21 PENDING AVAILABILITY OF FUNDS.,123,,,,
Justice,"CACI, INC. - COMMERCIAL SENIOR ELECTRONIC FILE SPECIALIST FORTIN",64,,,,
Justice,DATA ANALYST TO HELP CIVIL DIVISION,35,,,,
Justice,V011773 - PO - QUICKVIEW ANNUAL RENEWAL,39,,,,
Justice,CISCO IDSN,10,,,,
Justice,CO: CRAIG HAILSTOCK  VENDOR:  MCAFEE $374724.08 W3027  DOJ-WIDE JOCIO070300,75,,,,
Justice,THE CONTRACTOR WILL PROVIDE IT RELATED SERVICES TO ENHANCE AND EXECUTE THE CYBERSECURITY MISSION OF THE DEPARTMENT OF JUSTICE.,126,,,,
Justice,UIPATH RPA TOOLS AND SUBSCRIPTIONS,34,,,,
Justice,EOUSA GENERAL INTEGRATION SERVICES,34,,,,
Justice,"PCS AND LAPTOPS WITH EXTENDED WARRANTY, MONITORS, CABLING AND ACCESSORIES IN SUPPORT OF EOIR UNDER/AGAINST THE DOJ PC-LAPTOP DOWO #DJJ15-G-2638 AND NASA SEWP CONTRACT NO. NNG15SC22B.",182,,,,
Justice,EOUSA NETWORK OPERATIONS CENTER (NOC)&TECHONE SERVICES,54,,,,
Justice,CARAHSOFT LINKEDIN SUBSCRIPTION,31,,,,
Justice,"REMOVE SEATS, PREP USMS PRISONER VAN TO BUILD AND INSTALL CAGES AND LOCK BOXES.",79,,,,
Justice,SUBJECT TO THE AVAILABILITY OF FY20 FUNDS PLEASE SEE ATTACHMENT FOR FUNDING DETAILS (FY20 PSS OSSH TRACKING SPREADSHEET),120,,,,
Justice,ADMINISTRATIVE CONTRACT SUPPORT,31,,,,
Justice,CONTRACTOR SUPPORT SERVICES,27,,,,
Justice,"ADMINISTRATIVE SUPPORT CONTRACTORS IN WASHINGTON, DC AND GREENBELT, MD  IOD/CARFTF",82,,,,
Justice,ADMINISTRATIVE SUPPORT CONTRACTORS,34,,,,
Justice,FY18 HIDS MAINTENANCE AND MONITORING,36,,,,
Justice,POP EXTENSION COVID-19,22,,,,
Justice,HIDS - MAINTENANCE&MONITORING,29,,,,
Justice,HIDS INSTALL,12,,,,
Justice,POP EXTENSION. COVID-19,23,,,,
Justice,POP EXTENSION COVID-19,22,,,,
Justice,AVB PM NATIONWIDE,17,,,,
Justice,CSO SERVICES FOR THE EASTERN DISTRICT OF NORTH CAROLINA (56),60,,,,
Justice,CSO SERVICES FOR THE NORTHERN DISTRICT OF TEXAS (77).  IGF:OT:IGF,65,,,,
Justice,LEGAL SUPPORT SERVICES,22,,,,
Justice,MODIFICATION TO INCREASE FUNDING AND EXTEND THE POP,51,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS,73,,,,
Justice,BACKGROUND FIELD INVESTIGATOR OBLIGATION AMENDED FOR ADDITIONAL BPA CALLS P.O.P:  10/01/2019 - 09/30/2020,105,,,,
Justice,MEDICAL/SURGICAL SUPPLIES.,26,,,,
Justice,AMMUNITION - FOR  INSTITUTION -,31,,,,
Justice,VEST COVERS,11,,,,
Justice,STAFF VEST CARRIERS,19,,,,
Justice,"FLU SHOTS FOR INMATES AND STAFF AT FCC HAZELTON, 2020-2121",58,,,,
Justice,COMPREHENSIVE MEDICAL SERVICES FOR THE MONTH OF OCTOBER  PENDING FUNDS AVAILABILITY,83,,,,
Justice,BLAUER COVER,12,,,,
Justice,STAFF VEST CARRIERS,19,,,,
Justice,FLU VACCINE FOR STAFF,21,,,,
Justice,COMPREHENSIVE MEDICAL SERVICES FOR FCI MIAMI,44,,,,
Justice,COMPREHENSIVE MEDICAL SERVICES FOR FCI MIAMI,44,,,,
Justice,CATASTROPHIC CASE - MEDICAL SERVICES FOR FCI MIAMI,50,,,,
Justice,TASK/ORDER FOR MOBILE DIAGNOSTIC FOR FCI MIAMI,46,,,,
Justice,"TEMPORARY NURSE PRACTITIONER SERVICES FOR THE INMATE POPULATION AT FDC MIAMI, FLORIDA",85,,,,
Justice,MEDICAL SERVICES,16,,,,
Justice,MEDICAL SERVICES,16,,,,
Justice,P00002 DECREASE IN PRICE DUE TO ITEMS BEING DISCONTINUED.,57,,,,
Justice,EDDY CURRENT TESTING ON CHILLERS FOR FCC FLORENCE,49,,,,
Justice,VARIOUS AMMUNITION,18,,,,
Justice,MEDICAL CONSULTS FOR THE MONTH OF FEB FY 20 ESTIMATE ONLY THIS MODIFICATION REPRESENTS A FUNDING ONLY ACTION FOR AN INCREASE OF $2811.75,136,,,,
Justice,"COMPREHENSIVE MEDICAL SERVICES FOR FEB. FY 20 THIS MODIFICATION REPRESENTS A FUNDING ONLY ACTION FOR AN INCREASE OF $164,997.71",127,,,,
Justice,FEMALE VEST CARRIER (X2) MALE VEST CARRIER (X7),47,,,,
Justice,FRESH DAIRY PRODUCTS DELIVERED TO FCC TERRE HAUTE,49,,,,
Justice,"WEEKLY PRODUCE DELIVERED TO FCC TERRE HAUTE, IN 3RD&4TH QUARTERS - FISCAL YEAR 2020 FRESH PRODUCE REQUIREMENTS (APRIL, MAY, JUNE, JULY, AUGUST, SEPTEMBER) DELIVERIES BEGINNING TUESDAY MARCH 3, 2020.",198,,,,
Justice,URINALYSIS TEST CUPS AND LABORATORY SERVICES.,45,,,,
Justice,MEDICAL AND SURGICAL SUPPLIES,29,,,,
Justice,MEDICAL TRIPS FOR THE MONTH OF FEBRUARY 2020,44,,,,
Justice,49281-0633-15 FLULAVAL 10-DOSE MULTI DOSE VIALS QUADRIVALENT (ADULT DOSE),73,,,,
Justice,INFLUENZA VACCINE FOR INMATE POPULATION FOR MDC LOS ANGELES,59,,,,
Justice,INFLUENZA VACCINE FOR STAFF AT MDC LOS ANGELES,46,,,,
Justice,FY20 AOE PROGRAMMING FOR THE PERIOD 2/4/20 - 9/30/20,52,,,,
Justice,"WARRANTY FOR THE PALLET SCANNER FY20 FOR FCI TERMINAL ISLAND, CA.",65,,,,
Justice,FY20 PHARMACEUTICAL REVERSE DISTRIBUTION SERVICES AT FCC TUCSON,63,,,,
Justice,FLU VACCINES FOR INMATES FY-20,30,,,,
Justice,FORKLIFT LIFT FY-20,19,,,,
Justice,"TDAT SERVICES IN THE GREENVILLE, SC AREA.",41,,,,
Justice,"COMMUNITY TREATMENT SERVICES IN ORLANDO, FLORIDA.",49,,,,
Justice,MEDICAL PROTECTIVE FACE SHIELD FOR SIX (6) LOGISTICS SITES.,59,,,,
Justice,150 ALLEGRO TENT HEATERS,24,,,,
Justice,60 TENTS TO BE DROP SHIPPED TO VARIOUS INSTITUTIONS,51,,,,
Justice,CISCO ICONNECT EQUIPMENT,24,,,,
Justice,"CORRECTION TO MOD 1 FOR 15BRRC19FUTW10055 TO REMOVE  EXTRA FUNDING  TASK ORDER  THAT PROVIDES RESIDENTIAL RE-ENTRY CENTER (RRC) AND HOME CONFINEMENT (HC) SERVICES   IN LAREDO, TEXAS   02/01/2019 - 01/31/2020.",208,,,,
Justice,"RRC SERVICES IN BATTLE CREEK, MI FOR THE PERIOD OF PERFORMANCE:  10/1/19 - 9/30/20.",83,,,,
Justice,"RESIDENTIAL REENTRY CENTER AND HOME CONFINEMENT SERVICES IN SPANISH FORT, ALABAMA FOR THE PERIOD OF PERFORMANCE:  03/01/2020 - 02/28/2021.",138,,,,
Justice,"TO PROVIDE RESIDENTIAL RE-ENTRY CENTER (RRC) SERVICES WITHIN MIAMI-DADE COUNTY (WITHIN THE CITY OF MIAMI), FLORIDA, NORTH OF INTERSTATE 836 AND UP TO THE BROWARD COUNTY LINE.",174,,,,
Justice,TRANSLATION SERVICES,20,,,,
Justice,"FY20 - RURR - T-MOBILE -  DATA LINES - HOUSTON, TX",50,,,,
Justice,ADMINISTRATIVE MOD,18,,,,
Justice,DE-OBLIGATE FUNDS,17,,,,
Justice,"CALTRAP TRN FOR MIAMI FD- MARCH 26-27, 2019",43,,,,
Justice,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,68,,,,
Justice,"BASE YEAR: 4/1/2020 - 11/29/2020 $92,230.80, OY1 11/30/2020 -11/29/2021 $92,230.80 PROVIDES A SINGULAR INFORMATION MGMT SOLUTION FOR HIGH PERFORMANCE DATA COMPUTATION.",167,,,,
Justice,"THIS IS A REQUEST TO ISSUE A TASK ORDER FOR THE PERIOD OF PERFORMANCE APRIL 1, 2020 TO JUNE 30, 2020  FOR FSA/OMA NORTH CENTRAL REGION.",135,,,,
Justice,AMMUNITION UNDER CONTRACT# HSFLGL-16-D-00001.,45,,,,
Justice,WIRELESS DATA SERVICE,21,,,,
Justice,WIRELESS DATA PLAN,18,,,,
Justice,AMMUNITION REQUIRED TO SUPPORT TRAINING OF CLAN LAB TACTICAL CLASSES:  TAC 73-75 AND SAT 43-45.,95,,,,
Justice,AMMUNITION REQUIRED TO SUPPORT 2 SRT AND 1 TACTIAL SCHOOLS IN  EL PASO.,71,,,,
Justice,"NEED TO REPLACEMENT RECORDS MANAGEMENT APPLICATION FOR DELTA AND SENTINEL. REQUESTING BASE PLUS FOUR YEAR CONTRACT (LICENSING AND SUPPORT) CORRECT GSA # IS 47QTCA19D007R, CANNOT UPDATE IN FPDS, LEAVING IN NOTES.",211,,,,
Justice,OY #1 - NGNCP - 09/16/2018 - 09/15/2019  NGNCP CFE REPLACEMENT PHASE 2 (FFP) - 06/19/2019 - 01/15/2020,102,,,,
Justice,FFRDC NSEC SUPPORT SERVICES-ADDITIONAL FUNDING FOR 1 FTE FOR CY WATCH,69,,,,
Justice,ZBRA RMD0130  THIS CONTRACT WILL SUPPORT THE NEW DEVELOPMENT AND NEW FUNCTIONALITY OF THE NEXT GENERATION NAME CHECK PROGRAM.  (NGNCP).  NGNCP MANAGES THE ENTIRE NAME CHECK PROCESS FROM INGESTION OF NAME CHECK REQUESTS FROM FEDERAL CUSTOMERS TO PROCE,250,,,,
Justice,ENGINEERING AND TECHNICAL SERVICES TO INCLUDE STANDARD ELSUR CONTRIBUTION DEVELOPMENT PARTICIPATION IN INDUSTRY SPONSORED STANDARDS SETTING ORG.,144,,,,
Justice,"ZBRA UNIQUE ID# OTD20200344:  SOLARWINDS NETWORK PERFORMANCE MONITOR, SOLARWINDS NETFLOW TRAFFIC ANALYZER, SOLARWINDS NETWORK CONFIGURATION MANAGER, SOLARWINDS IP ADDRESS MANAGER, KIWI SYSLOG SERVER, AND SERVER&APPLICATION MONITOR.",231,,,,
Justice,FISCAL YEAR UP KEEP SERVICE,27,,,,
Justice,INTEGRATED BIOMETRICS PRODUCTS,30,,,,
Justice,VTC,3,,,,
Justice,"IT IS NECESSARY THAT WE HAVE AT LEAST A SMALL GROUP OF DEXTS FORMALLY TRAINED IN THE USE OF THESE TOOLS. THIS WILL PROVIDE SUBJECT MATTER EXPERTS THAT OTHER DEXTS CAN CALL ON TO ANSWER QUESTIONS ABOUT THE TOOLS, AS WELL AS PROVIDE A CADRE OF TRAINED",249,,,,
Justice,"FY19 RQN FOR EC AMERICA FOIAXPRESS PAL UPGRADE MOD 1: CREATING A NEW TASK FOR OAS BECAUSE OF UFMS UPGRADE MOD 2: ADDITIONAL FUNDING. TOTAL AMOUNT FOR BASE: $56,079.83",166,,,,
Justice,VIDEO TELECONFERENCE INTEGRATED SERVICES.,41,,,,
Justice,GRAND JURY AND DEPOSITIONS COURT REPORTING SERVICES,51,,,,
Justice,GRAND JURY AND DEPOSITIONS,26,,,,
Justice,FOIA/PA CASE MANAGEMENT SOFTWARE,32,,,,
Justice,GRAND JURY AND DEPOSITION COURT REPORTING SERVICES,50,,,,
Justice,EXPERT WITNESS SERVICES (TRANSLATIONS),38,,,,
Justice,FY 2019:  TWO HR PERSONNEL SECURITY SPECIALIST CONTRACTORS. BASE YEAR PERFORMANCE PERIOD:  9/29/2019 - 9/28/2020.,113,,,,
Justice,CON-280 TRAINING FOR MAINTAINING FAC-C CERTIFICATION  05/11/2020 - 05/22/2020  APPROPRIATIONS LAW TRAINING FOR BO/CO ATTENDEES:  05/28/2020 - 05/29/2020,152,,,,
Justice,APPROPRIATIONS LAW TRAINING FOR CONTRACTING PROFESSIONALS FOR NO MORE THAN FORTY (40) CONTRACTING OFFICER ATTENDEES:  05/13/2020 - 05/15/2020.,142,,,,
Justice,ZERO DOLLAR SHELL FOR VERATO FOR FY20.  PER STEPHANIE GIRARD PROCEED WITH FY19 INFORMATION.,91,,,,
Justice,WORLD WIDE DELIVERY SERVICES,28,,,,
Justice,CHANGE-OF-NAME MODIFICATION,27,,,,
Justice,NCIF FUNDING,12,,,,
Justice,"FY20 ORDER UNDER/AGAINST EOUSA SERVER-HW DOWO NO. DJJ16-G-2692, NASA SEWP CONTRACT NO. NNG15SC55B.",98,,,,
Justice,TASER EQUIPMENT,15,,,,
Justice,ENTERPRISE MAIL SOLUTION (TOTAL WEB-BASED) - MSD,48,,,,
Justice,USMS GS-1811 PROMOTION SYSTEM REPLACEMENT TO MOD 4 OF TASK ORDER 15M10318FA4100301.,83,,,,
Justice,CONTRACT SUPPORT SERVICES FOR TOD/OEM,37,,,,
Justice,PROFESSIONAL SUPPORT SERVICES,29,,,,
Justice,PROFESSIONAL SERVICES,21,,,,
Justice,CLOSEOUT.,9,,,,
Justice,INTELLIGENCE RESEARCH SPECIALIST,32,,,,
Justice,SMITHS DETECTION DUAL/SINGLE GENERATOR X-RAY UNIT,49,,,,
Justice,DECON ZONE SANITIZING SYSTEM MODEL: 4201A,41,,,,
Justice,DEOBLIGATE AND CLOSE OUT,24,,,,
Justice,WAVE EXPANSION,14,,,,
Justice,MAINTENANCE AND SOFTWARE SUPPORT FOR SAP,40,,,,
Justice,MOBILE INTERNET TO SUPPORT CAMERAS.,35,,,,
Justice,BROADBAND SVC/RURR,18,,,,
Justice,HOLSTERS NEEDED TO SUPPORT BASIC AGENT TRAINING 8.04%,53,,,,
Justice,WIRELESS SERVICE FOR SMARTPHONES AND DATA ONLY DEVICES WITH AT&T MOBILITY VIA THE GSA FEDERAL SUPPLY SCHEDULE 47QTCA19D00MV UNDER THE FIRSTNET MOBILEUNLIMITED PLANS FOR PRIMARY USERS.,183,,,,
Justice,"UNIQUEID: OTD20200576 CISCO 3650, 3850 AND 3560 SWITCHES:   (U) TRU HAS PREVIOUSLY PURCHASED QUANTITIES OF THESE DEVICES AND WILL USE THIS PROCUREMENT TO EXPAND THE EXISTING STOCK OF SWITCHES. INTEROPERABILITY WITH EXISTING EQUIPMENT IS CRITICAL TO I",250,,,,
Justice,ADOBE CONNECT ANNUAL SUPPORT RENEWAL,36,,,,
Justice,GRAND JURY AND DEPOSITIONS COURT REPORTING SERVICES,51,,,,
Justice,WORLDWIDE SHIPPING SERVICES,27,,,,
