awarding_agency_name,award_description
DEPARTMENT OF TRANSPORTATION (DOT),"THIS TASK ORDER IS ISSUED TO PERFORM STATISTICAL ANALYSIS ON MULTIPLE DATASETS AVAILABLE THROUGH FHWA TO BETTER UNDERSTAND THE RELATIONSHIP BETWEEN MOTOR VEHICLE TRAVEL SPEED INFORMATION FROM THE NPMRDS, ROADWAY DESIGN ELEMENTS, AND TRAFFIC VOLUMES ON CRASH RATE OUTCOMES AT THE HIGHWAY SEGMENT LEVEL IN RURAL AREAS. THE TOTAL AMOUNT OF $239,967.00 IS OBLIGATED FOR THIS LABOR HOUR EFFORT. THE PERIOD OF PERFORMANCE IS JULY 09,2018 TO DECEMBER 08, 2019."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-BIO.0687-18; E-230-2012-0-MX-10; ROBBINS; PATENT LEGAL SERVICE; (BURKE) CLN 2-LVM-BIO.0688-18; E-230-2012-0-CN-05; ROBBINS; PATENT LEGAL SERVICE; (BURKE)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF   SOFA  USFK TRANSFORMATION&RELOCATION SUPPORT SERVICE
DEPARTMENT OF THE INTERIOR (DOI),IGF::CL::IGF DARPA STO FRONT OFFICE&COMMUNICATIONS TECHNICAL&ADMINISTRATIVE SUPPORT
DEPARTMENT OF LABOR (DOL),IGF::OT::IGF  DENISON AWARD
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"RISE IDIQ: DEVELOP STRONGER ECONOMIES IN THE EAST AFRICA REGION THROUGH IMPROVED MARKET SYSTEMS, INCREASED CROSS BORDER TRADE, MORE COMPETITIVE INDUSTRIES&MORE MARKET-ORIENTED POLICIES"
DEPARTMENT OF HOMELAND SECURITY (DHS),SUPPORT SERVICES FOR THE RPMP RO-RPM REQUIREMENT
DEPARTMENT OF DEFENSE (DOD),"SECAP, HM&E SYSTEMS TRAINING, PACIFIC FLEET"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-KS-BIO.0081-19; E-015-2019-0-US-01; BHARTI; PATENT LEGAL SERVICE; (FENN) CLN 2-KS-BIO.0082-19; E-015-2019-0-US-01; BHARTI; PATENT LEGAL SERVICE; (FENN)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),FINANCIAL SYSTEMS POLICY AND COMPLIANCE PROGRAM SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),AVBPA MAINTENANCE
DEPARTMENT OF DEFENSE (DOD),JLDW SUPPORT 205A
DEPARTMENT OF DEFENSE (DOD),"WATERCRAFT ELECTRONIC SERVICES SHALL INCLUDING DESIGN, ENGINEERING, INTEGRATION, INSTALLATION, RESEARCH AND DEVELOPMENT, TEST AND EVALUATION, LIFE CYCLE SUSTAINMENT, TRAINING, AND PROGRAM MANAGEMENT."
DEPARTMENT OF TRANSPORTATION (DOT),TASK ORDER 4/3/21-5/28/21
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::OT::IGF PROGRAM MANAGEMENT AND ANALYTICAL SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),DARPA RESEARCH PROGRAM
DEPARTMENT OF TRANSPORTATION (DOT),HORN REPAIRS  MNC-HRN20-1005 B
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF ORA LABORATORY INFORMATION MANAGEMENT SYSTEM (LIMS) YEAR 3
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF:-PALLADIAN PARTNERS INC:1108361 [16-004265]
DEPARTMENT OF THE INTERIOR (DOI),"BLANKET PURCHASE AGREEMENT TO PROVIDE ENVIRONMENTAL SUPPORT SERVICES TO THE OFFICE OF RESTORATION AND DAMAGE ASSESSMENT (ORDA), THE OFFICE OF ENVIRONMENTAL POLICY AND COMPLIANCE (OEPC), AND THE BUREAUS WITHIN THE DEPARTMENT OF THE INTERIOR AT VARIOUS LOCATIONS."
DEPARTMENT OF DEFENSE (DOD),GEARS: GEARS ENHANCED ANALYTIC RESEARCH SYSTEM
DEPARTMENT OF DEFENSE (DOD),OSF DEVELOPMENT
DEPARTMENT OF DEFENSE (DOD),PRODUCTION SUPPORT SERVICES
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"IGF::OT::IGF 1.1 BACKGROUND THE NEXT ION PROPULSION TECHNOLOGY HAS BEEN IN DEVELOPMENT BY THE NASA IN-SPACE PROPULSION TECHNOLOGY PROJECT, WITHIN THE SCIENCE MISSION DIRECTORATE (SMD), FOR USE IN A WIDE ARRAY OF ROBOTIC SCIENCE MISSIONS. A NEXT ION PROPULSION SYSTEM TYPICALLY CONSISTS OF GRIDDED ION THRUSTERS, POWER PROCESSING UNITS (PPUS), THRUSTER GIMBALS, A XENON PROPELLANT FEED SYSTEM, AND A CONTROL INTERFACE FUNCTIONALITY CAPTURED EITHER IN A DEDICATED UNIT OR DISTRIBUTED BETWEEN THE ION PROPULSION SYSTEM AND THE SPACECRAFT. NEXT IS APPLICABLE TO A BROAD ARRAY OF PLANETARY SCIENCE MISSIONS, INCLUDING DISCOVERY, NEW FRONTIERS AND FLAGSHIP MISSIONS AND ALSO HAS APPLICATION TO MULTIPLE CONCEPTUAL ASTROPHYSICS SCIENCE MISSIONS. 1.2 BASIS FOR PROCUREMENT THE NASA SMD PLANETARY SCIENCE DIVISION IS OFFERING NEXT FLIGHT HARDWARE, SPECIFICALLY TWO THRUSTERS AND TWO PPUS, AS GOVERNMENT-FURNISHED EQUIPMENT (GFE) FOR THE NEXT DISCOVERY MISSION ANNOUNCEMENT OF OPPORTUNITY (AO). THE DISCOVERY AO IS TARGETED FOR RELEASE IN OCTOBER 2014. REFER TO NASA SOLICITATION NUMBER NNH14ZDA009J FOR FURTHER INFORMATION REGARDING THE DISCOVERY AO AND TARGET SCHEDULES. NASA DESIRES FOR THE NEXT SYSTEM TO BE AVAILABLE TO FUTURE USERS AS A COMMERCIAL PRODUCT. NASA ENCOURAGES AND WILL CONSIDER MODIFICATIONS OR ALTERNATIVES TO THE EXISTING DESIGN, PARTICULARLY THE PPU DESIGN, TO FACILITATE MORE CONSISTENT USE IN NON-NASA APPLICATIONS. THEREFORE, THE FRAMEWORK FOR THIS PROCUREMENT AND THE FOLLOWING STATEMENT OF WORK IS FOR COST-SHARED DEVELOPMENT WHICH RESULTS IN PRODUCT USE FOR BOTH NASA AND NON-NASA MISSIONS. THE NASA PROJECT TO PROVIDE THIS GFE HARDWARE IS REFERRED TO AS THE NEXT-C PROJECT THROUGHOUT THIS DOCUMENT."
DEPARTMENT OF DEFENSE (DOD),MASSIVE ORDNANCE PENETRATOR MODIFICATION PHASE II
DEPARTMENT OF DEFENSE (DOD),"ENGINEERING SUPPORT FOR TEST PROCEDURE REVIEWS, SPECIFICATION DEVELOPMENT AND ANALYSIS, ALTERATIONS AND LOGISTICS SUPPORT RELATING TO AC ELECTRIC POWER QUALITY, SYSTEM CONTROL AND CIRCUIT PROTECTION SYSTEMS."
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF SPAWAR PROGRAM EXECUTIVE OFFICE, COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS AND INTELLIGENCE (PEO C4I)    BUSINESS IT TOOL SUPPORT SERVICES"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"IGF::OT::IGF PROTOCOL DEVELOPMENT, IMPLEMENTATION, AND RESEARCH LABORATORY ANALYSIS RELATIVE TO PROTOCOL 14-0100"
GENERAL SERVICES ADMINISTRATION (GSA),PROFESSIONAL ENGINEERING SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SUPPORT SERVICES FOR DIVISION OF INTRAMURAL RESEARCH, OFFICE OF THE DIRECTOR (DIR/OD)"
DEPARTMENT OF TRANSPORTATION (DOT),INTREPID SHIP SUPPORT COVID  ODI-INT20-1008 C
DEPARTMENT OF HOMELAND SECURITY (DHS),PROVIDE SECURITY ESCORT FOR CISA DIVISIONS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-CHM.0215-15; E-116-2001/0-JP-12; GUPTA; PATENT LEGAL SERVICE; (RUCKER)
DEPARTMENT OF DEFENSE (DOD),SERVICES
DEPARTMENT OF DEFENSE (DOD),CWAS SUPPORT SERVICES (R&D)
DEPARTMENT OF DEFENSE (DOD),DTMO TRAVEL ASSISTANCE CENTER SERVICES
DEPARTMENT OF COMMERCE (DOC),IGF::OT::IGF INFRASTRUCTURE DESIGN ENGINEERING ARCHITECTURE AND INTEGRATION (IDEAI-2) UNRESTRICTED
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SEAPORT ENHANCED
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0055-17; E-145-2004/3-US-05; CHEN; PATENT LEGAL SERVICE (PATEL)
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF STATE (DOS),DEFINITIZE CONUS OY1
DEPARTMENT OF DEFENSE (DOD),LABOR (CEILING FOR CLINS 1001-1006)
DEPARTMENT OF HOMELAND SECURITY (DHS),2019 OUTCOME DRIVEN RECOVERY ICD SUPPORT
DEPARTMENT OF ENERGY (DOE),"LPO IS SEEKING LEAD OUTSIDE LEGAL COUNSEL TO ASSIST DOE IN THE EVALUATION  AND NEGOTIATION OF SUCH TERMS AND CONDITIONS, AND IN THE PREPARATION OF ALL  DOCUMENTS TO EVIDENCE SUCH TERMS AND CONDITIONS OF UNDERWRITING, STRUCTURING, NEGOTIATING, AND"
DEPARTMENT OF TRANSPORTATION (DOT),FEDERAL AVIATION ADMINISTRATION (FAA) TECHNICAL MANAGEMENT SUPPORT (TMS) SERVICES FOR THE OFFICE OF INFORMATION AND TECHNOLOGY (AIT) INFORMATION SECURITY&PRIVACY SERVICE (AIS)
DEPARTMENT OF JUSTICE (DOJ),ICI - KSA - SPECIAL FORCES
DEPARTMENT OF JUSTICE (DOJ),OPD - COLUMBIA - ADMINISTRATIVE AND PROGRAM STAFF
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::OT::IGF PPA: RD&I DIVISION: INFRASTRUCTURE PROTECTION&DISASTER MANAGEMENT DIVISION (IDD)       PROGRAM: OVERHEAD IMAGERY DATA  PROJECT: SCEC REMOTE SENSING VALIDATION PERFORMER: SOUTHERN CALIFORNIA EARTHQUAKE CENTER (SCEC)APPROPRIATION YEAR:  FY12 (24 FUNDS)  BUDGET AUTHORITY:  THREE-YEAR R&D FUNDS  PROJECT MANAGER + PHONE: BRUCE DAVIS, 202-254-5893  ALC: 70-08-1513 TAS: 70240800  DESCRIPTION:  THE PURPOSE OF THIS REQUISTION IS TO PROVIDE FUNDING TO SCEC TO TO IMPROVE U.S. CAPABILITIES IN OPERATIONAL EARTHQUAKE FORECASTING (OEF) BY FACILITATING KEY PHASES OF FORECAST DEVELOPMENT AND VALIDATION. OEF INVOLVES TWO MAIN ACTIVITIES: THE CONTINUAL UPDATING OF AUTHORITATIVE INFORMATION ABOUT THE FUTURE OCCURRENCE OF POTENTIALLY DAMAGING EARTHQUAKES, AND THE OFFICIALLY SANCTIONED DISSEMINATION OF THIS INFORMATION TO ENHANCE EARTHQUAKE PREPAREDNESS IN THREATENED COMMUNITIES."
DEPARTMENT OF DEFENSE (DOD),"IGF::CL,CT::IGF TO AWARD -8 6 MONTH OPTION"
DEPARTMENT OF TRANSPORTATION (DOT),OTHER FUNCTIONS
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  ENGINEERING SERVICES
DEPARTMENT OF HOMELAND SECURITY (DHS),CONTINUED SUPPORT FOR ESTABLISHING AN ENTERPRISE GOVERNANCE FRAMEWORK AND ASSISTING WITH THE IMPLEMENTATION OF POLICIES AND REQUIREMENTS FOR THE DHS/OCIO/ENTERPRISE BUSINESS MANAGEMENT OFFICE (EBMO).
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0245-17; E-264-2011/0-EP-04; KACZMARCZYK; PATENT LEGAL SERVICE (ANTCZAK)
ENVIRONMENTAL PROTECTION AGENCY (EPA),"SMARTWAY TRANSPORT PARTNERSHIP BRAND, MARKETING, COMMUNICATION&OUTREACH SUPPORT FOR PUBLIC SERVICE ANNOUNCEMENTS"
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),KENNEDY EXPLORATION GROUND SYSTEMS (EGS) PROGRAM (LX) SUPPORT SERVICES CONTRACT THREE (KLXS III).
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NCI CHANGE MANAGEMENT AND THE RESEARCH FUNDING SYSTEM
PENSION BENEFIT GUARANTY CORPORATION (DOL),ACTUARIAL SERVICES
OFFICE OF PERSONNEL MANAGEMENT (OPM),"CASE PROCESSING REQUIREMENTS IGF::CL,CT::IGF"
DEPARTMENT OF JUSTICE (DOJ),ICI - IRAQ - EXBS OCO RRF
DEPARTMENT OF TRANSPORTATION (DOT),TSI-REG20-TOPDA - FY20 TOP DOWN PROJECT A - 55K
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF CCL-CHM.0092-16; E-211-2010/2-EP-04; ZHENG; PATENT LEGAL SERVICE; (VEPA)
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LABOR HOUR AWARD CENTER FOR TOBACCO PRODUCTS (CTP) CAPITAL PLANNING AND INVESTMENT CONTROL (CPIC) - FDA INFORMATION TECHNOLOGY PROGRAM (IPS) AND PROJECT MANAGEMENT SUPPORT SERVICES FDA THREE-WAY-MATCHING INVOICE CLAUSE-COR:NNENNA.EGWIM@FDA.HHS.GOV
DEPARTMENT OF DEFENSE (DOD),
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF
DEPARTMENT OF ENERGY (DOE),"IGF::CL,CT::IGF U.S. DEPARTMENT OF ENERGY NATIONAL NUCLEAR SECURITY ADMINISTRATION (DOE/NNSA) OFFICE OF STOCKPILE MANAGEMENT (NA-12),OFFICE OF NUCLEAR WEAPON SURETY AND QUALITY (NA-121)TECHNICAL SUPPORT SERVICES"
DEPARTMENT OF JUSTICE (DOJ),STRATEGIC CONSULTING SERVICES
DEPARTMENT OF DEFENSE (DOD),"200312!037855!1700!BZ005 !NAVAL SEA SYSTEMS COMMAND       !N0002401D7021  !A!N! !Y!0004               !20030926!20040930!009683442!009683442!006980080!N!AT&T GOVERNMENT SOLUTIONS, INC!1900 GALLOWS ROAD         !VIENNA              !VA!22182!50000!001!11!WASHINGTON          !DISTRICT OF COLUMBIA  !D.C.      !+000000470000!N!N!000000000000!R499!OTHER PROFESSIONAL SERVICES                       !S1 !SERVICES                      !2000!NOT DISCERNABLE OR CLASSIFIED !541330!E! !5!B!M! !A!D!20060331!B! ! !A! !A!N!U!2!021!B!  !Z!N!Z!  !  !N!C!N! ! ! !C!D!A!A!000!A!C!N! ! ! ! !    !      !0001! !"
DEPARTMENT OF EDUCATION (ED),"THE HIGH SCHOOL AND BEYOND LONGITUDINAL STUDY OF 2020 (HS&B:20)IS A LARGE, COMPLEX DATA COLLECTION USED TO FOLLOW AND STUDY HIGH SCHOOL STUDENTS THROUGHOUT THEIR HIGH SCHOOL CAREERS."
DEPARTMENT OF STATE (DOS),TERMINATION FOR CONVENIENCEIGF::CT::IGF
DEPARTMENT OF ENERGY (DOE),"THE ECMS CONTRACTOR WILL PROVIDE PROGRAM MANAGEMENT SUPPORT SERVICES. THESE SERVICES INCLUDE BUT ARE NOT LIMITED TO THE SUPPORTING PROGRAM AND PROJECT PERFORMANCE BASELINE ASSESSMENTS, PROJECT REVIEWS, OPPORTUNITY ASSESSMENTS, STRATEGY FORMULATIONS,"
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF THE OBJECTIVE OF THIS TASK ORDER IS TO SUPPORT SPAWARSYSCEN ATLANTIC IN PROJECT EXECUTION OF CS POLICY SERVICES AT LOCATIONS THROUGHOUT THE CONTINENTAL US (CONUS) AND OUTSIDE THE CONTINENTAL US (OCONUS) AREAS.  THIS SUPPORT INCLUDES TO ALL DOD MILITARY HEALTH SERVICES SITES, WHICH VARY IN SIZE FROM 1500 TO OVER 60,000 SERVER AND WORKSTATION ASSETS AND SUPPORT AS MANY AS 35 TO 45 PROGRAMS OF RECORD SYSTEMS AS DETERMINED BY THE SPONSOR OF VARY SIZE, ARCHITECTURE AND OPERATING SYSTEMS."
DEPARTMENT OF TRANSPORTATION (DOT),PROFESSIONAL ENGINEERING SERVICES IN SUPPORT OF AJW-22 IGF::CT::IGF
DEPARTMENT OF ENERGY (DOE),"TO PROVIDE ENTERPRISE CONSTRUCTION MANAGEMENT SERVICES (ECMS) IN SUPPORT OF THE OFFICE OF ENTERPRISE PROJECT MANAGEMENT, NA-APM-20."
DEPARTMENT OF DEFENSE (DOD),CAPE LAUNCH OPERATIONS INFRASTRUCTURE SUPPORT - NATIONAL AERONAUTICS AND SPACE ADMINISTRATION LAUNCH SERVICE PROGRAM
DEPARTMENT OF AGRICULTURE (USDA),ESRI FSTOPO APPLICATION MAINTENANCE AND ENHANCEMENT - FY19/20
DEPARTMENT OF DEFENSE (DOD),OCC HEALTH & INDEPENDENT MEDICAL EXAMS
DEPARTMENT OF TRANSPORTATION (DOT),"CORPORATE WORK PLAN  PROGRAM MANAGEMENT, IT, AND ORACLE SUPPORT SERVICES"
DEPARTMENT OF DEFENSE (DOD),CONTRACTOR SUPPORT SERVICES FOR ENGINEERING EFFORTS
DEPARTMENT OF TRANSPORTATION (DOT),THIS IS A NEW TIME-AND-MATERIALS TASK ORDER UNDER ISSUED TO PROVIDE ACTIVE TRANSPORTATION AND DEMAND MANAGEMENT (ATDM) TRAVELER BEHAVIOR EVALUATION AND COHORT.
DEPARTMENT OF HOMELAND SECURITY (DHS),"THE GOVERNMENT HEREBY ISSUES TASK ORDER 70T04018F1CORC410 (TO 13) UNDER ATSS BPA HSTS04-15-A-CT6005. THIS ORDER IS FOR TEST PLANNING FOR THE INNOVATION TASK FORCE (ITF), AUTOMATED SCREENING LANES (ASL), PROOF OF CONCEPT (POC)REQUIREMENTS. ALL WORK SHALL BE ACCOMPLISHED IN ACCORDANCE WITH THE TERMS AND CONDITIONS OF THE BPA AND THE ATTACHED STATEMENT OF WORK."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SR-BIO.0102-19; E-080-2013-0-EP-05; COLLINS; PATENT LEGAL SERVICE; (SOUKAS)
DEPARTMENT OF DEFENSE (DOD),COHO SIPHON
DEPARTMENT OF DEFENSE (DOD),AWARD UNDER THE DIRECT ENERGY TEST BROAD AGENCY ANNOUNCEMENT W900KK-16-R-0031 FOR THE AIRBORNE ADVANCED DIGITAL RADIO FREQUENCY MEMORY REQUIREMENT.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CONDUCT STUDY P209
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
FEDERAL COMMUNICATIONS COMMISSION (FCC),PROGRAMMING SERVICES 'IGF::OT::IGF'
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PRECLINICAL DEVELOPMENT SUPPORT FOR CANDIDATE PRODUCTS AND DRUG DEVELOPMENT ACTIVITIES. THE SCOPE OF WORK ENCOMPASSES ACTIVITIES THAT RANGE FROM INITIAL PRODUCT DISCOVERY TO THOSE REQUIRED TO SUPPORT CLINICAL TRIALS AND/O
DEPARTMENT OF TRANSPORTATION (DOT),THE PURPOSE OF THIS REQUIREMENT IS TO AWARD A TASK ORDER FOR ENVISION CONSULTANTS LTD.
GENERAL SERVICES ADMINISTRATION (GSA),AFLCMC HNCO CRISPY TREE IT PROGRAMMING SUPPORT SERVICES
DEPARTMENT OF TRANSPORTATION (DOT),FCS TAG 0089 - AJR DASHBOARD
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),HEOMD PROGRAM SUPPORT FOR INTER-AGENCY PARTNERSHIPS WITH SMC
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT"
DEPARTMENT OF JUSTICE (DOJ),NATIONAL BASELINE STUDY DATA CENTER
DEPARTMENT OF DEFENSE (DOD),OFFICE OF THE SECRETARY OF DEFENSE AND STRATEGIC PLANNING WORKSHOP DIRECTED STUDIES AND ANALYSIS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-BIO.0567-18; E-148-2011-0-EP-17; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 2-LVM-BIO.0568-18; E-148-2011-0-AT-18; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 3-LVM-BIO.0569-18; E-148-2011-0-BE-19; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 4-LVM-BIO.0570-18; E-148-2011-0-CH-20; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 5-LVM-BIO.0571-18; E-148-2011-0-CZ-21; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 6-LVM-BIO.0572-18; E-148-2011-0-DE-22; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 7-LVM-BIO.0573-18; E-148-2011-0-ES-23; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 8-LVM-BIO.0574-18; E-148-2011-0-FR-24; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 9-LVM-BIO.0575-18; E-148-2011-0-GB-25; MORGAN; PATENT LEGAL SERVICE; (BURKE)
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF COMMERCE (DOC),"PROFESSIONAL, TECHNICAL AND MANAGEMENT SUPPORT SERVICES (PTMSS) FOR THE NATIONAL SEA GRANT COLLEGE PROGRAM"
DEPARTMENT OF LABOR (DOL),"$390,000.00 TO INCREMENTALLY FUND NEW TASK ORDER, AGAINST EOSS BPA DOLOPS16A0012 FOR ETA/ELIGIBLE TRAINING PROVIDER (ETP) SERVICES.  AWARD AND FUND NEW TASK ORDER #24, ETA ETP SCORECARD SUPPORT, ON THE EOSS BPA (DOL-OPS-16-A-0012) WITH BOOZ ALLEN H"
DEPARTMENT OF DEFENSE (DOD),"1GF:OT::1GF_NSIPS SUSTAINMENT, O&MN"
DEPARTMENT OF AGRICULTURE (USDA),FLEET MANAGEMENT SUPPORT SPECIALIST
DEPARTMENT OF HOMELAND SECURITY (DHS),IPAWS NPWS SUSTAINMENT
DEPARTMENT OF DEFENSE (DOD),RESEARCH IAW SOW - DARPA DIGET PROGRAM
DEPARTMENT OF DEFENSE (DOD),"SYSTEMS ENGINEERING AND EVALUATION, SYSTEMS ANALYSIS WORLDWI"
DEPARTMENT OF JUSTICE (DOJ),STOR 180
DEPARTMENT OF AGRICULTURE (USDA),FOREST COMMUNICATION AND OUTREACH EXPERT  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF COMMON SUPPORT EQUIPMENT (CSE) PROGRAM MANAGEMENT SUPPORT SERVICES AT NAVAL AIR WARFARE CENTER AIRCRAFT DIVISION (NAWCAD) LAKEHURST, NJ."
DEPARTMENT OF DEFENSE (DOD),BASE LABOR
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"IGF::OT::IGF THIS ACTION INTENDS TO PROCURE A NEW MONITORING, EVALUATION, A&E AND PROGRAM SUPPORT CONTRACT TO USAID LEBANON"
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF  FULL-SPECTRUM INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE (ISR) INNOVATION AND INTEGRATION (F3I)"
DEPARTMENT OF TRANSPORTATION (DOT),"KEY-KNX21-1005B - FY21 M&R EMERGENT REPAIRS B - $97,000"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF LOGISTICAL CONTRACTOR SUPPORT SERVICES FOR GOVERNMENT WEAPON SYSTEM MANAGERS AND SUPPORT EQUIPMENT INTEGRATED LOGISTIC SUPPORT ELEMENT MANAGERS IN THE PREPARATION AND EXECUTION OF TASKS AND PRODUCTS FOR MILITARY AND AEROSPACE EQUIPMENT AND MILITARY WEAPONS FOR THE NAVAL AIR SYSTEMS COMMAND FOREIGN MILITARY SALES (FMS) FOR VARIOUS FMS PLATFORMS AND FMS CUSTOMERS UNDER 6.7.6 COGNIZANCE AT LAKEHURST.
DEPARTMENT OF JUSTICE (DOJ),"IGF::CT::IGF  THIS CONTRACT WILL BE USED TO PROVIDE PROFESSIONAL LITIGATION SUPPORT PRODUCTS AND SERVICES TO THE DEPARTMENT OF JUSTICE AND OTHER FEDERAL AGENCIES ON AN INDEFINITE DELIVERY, INDEFINITE QUANTITY TASK ORDER BASIS. INDIVIDUAL TASK ORDERS ISSUED UNDER THIS CONTRACT MAY SUPPORT ANY IGF::CT::IGF  DEPARTMENT OF JUSTICE ORGANIZATION OR FEDERAL AGENCY ON A LOCAL AND/OR NATIONWIDE BASIS. SERVICES MAY BE REQUIRED ANYWHERE IN OR OUTSIDE OF THE UNITED STATES AND ITS TERRITORIES. THIS CONTRACT WILL ALSO BE USED TO SUPPORT CASE- OR INVESTIGATION-RELATED ADMINISTRATIVE FUNCTIONS"
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF, A&E SUPPORT SERVICES - LIBBY, MT, CAM ID: 65885"
DEPARTMENT OF TRANSPORTATION (DOT),PAC TRACKER OPER MDA MISSION  TSI-PTK21-OPS1 A
DEPARTMENT OF DEFENSE (DOD),HIGH-TEMPERATURE COMPOSITES PERFORMANCE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0336-16; E-248-2006/0-EP-07; MOSS; PATENT LEGAL SERVICE (HURLEY)
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF INTERFACES, MODELS, AND MONITORING FOR RESOURCE-AWARE TRANSFORMATIONS THAT AUGMENT THE LIFECYCLES OF SYSTEMS (IMMORTALS)"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF MISSION PLANNING SOFTWARE DEVELOPMENT
DEPARTMENT OF ENERGY (DOE),"IGF::CL::IGF  DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION'S (DOE/NNSA) OFFICE OF SAFETY, INFRASTRUCTURE&OPERATIONS (NA-50) TECHNICAL, ANALYTICAL, AND PROGRAMMATIC SUPPORT SERVICES"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF AEROSHELL AFFORDABLE MANUFACTURING
ENVIRONMENTAL PROTECTION AGENCY (EPA),R10 START V TO FOR REMOVAL SITE EVALUATION TECHNICAL SUPPORT FOR THE ONALASKA WOOD PRYOLYSIS PLANT
DEPARTMENT OF DEFENSE (DOD),SSN 781 USS CALIFORNIA FY17 UPK / SSN 719 USS PROVIDENCE FY17 IMA / SSN 760 USS ANNAPOLIS FY17-18 DMD / SSN 768 USS HARTFORD FY17-18 IMA / SSN 784 USS NORTH DAKOTA FY18 UPK IGF::OT::IGF
